agency_id,agency_name
701,train replacement bus operators
2501,Busways R1
7077,Busways R1
2502,Transit Systems NSW SW
2503,Transit Systems NSW
7063,Transit Systems NSW
2504,CDC NSW R4
7057,CDC NSW R4
2507,Busways North West
7085,Busways North West
7051,Busways North West
X0000,NSW Trains
x0001,Sydney Trains
2606,Busways OMR6
2607,Redbus CDC NSW
2508,Keolis Downer Northern Beaches
SMNW,Sydney Metro
2509,Transdev John Holland Buses
7054,Transdev John Holland Buses
7066,U-Go Mobility
2510,U-Go Mobility
30908,Dysons Buslines
B025,Premier Motor Service
24561,Premier Illawarra
B079,Murrays Coaches
IC02,Goode's Coaches
B020,Cann's Buslines
5979,CDC Mildura Pty Ltd
B047,Northern Rivers Buslines
5503,Oberon Bus Service
2514,CDC NSW R14
7070,CDC NSW R14
7060,CDC NSW R14
7083,Transit Systems NSW
7084,U-Go Mobility
CCC,Captain Cook Cruises
301,Palm Beach Ferry Service
303,Central Coast Ferries
305,Captain Cook Cruises
304,Church Point Ferry Service
CRF,Clarence River Ferries
302,Brooklyn Ferry Service
300,Cronulla Ferries
2447,Rover Coaches
2448,Hunter Valley Buses
7024,Hunter Valley Buses
2449,Port Stephens Coaches
MFF,Manly Fast Ferries
5288,Prugger's Bus and Coach Service
5226,Jack James & Sons
5363,T R & J M Lewis
5500,Dubbo Buslines
5902,Ogdens Coaches
5683,Western Road Liners
6003,Dubbo Buslines
5671,G & A Parker
5022,CLMM Pty Ltd
5880,Western Road Liners
5489,Cabonne Bus Lines
5606,Grace Coaches
5480,DKCH O'Connor Pty Ltd
5763,Campbell & Wright Buses Pty Ltd
5385,CB and DJ Nash Pty Ltd
5013,M J & M L McEVOY
5628,NRC Buses Pty Ltd
5673,Forbes Buslines
5291,John Matthews
5024,MW Leeson Pty Ltd Pty Ltd
5105,Courtys Bus Services Pty Ltd
5454,Langley's Coaches
5516,Cabonne Bus Lines
5297,RH Buses Pty Ltd
5168,Bushtrack Bus Company Pty Ltd
5510,T Deaman & S Horkings Pty Ltd
5229,Tooraweenah Road Bus Services Pty Ltd
5001,Wyberba Pty Ltd
5012,McWhirter's Bus Service
5410,Mulligan & Co Services Pty Ltd
5086,Langley's Coaches
5789,Coates Road Holdings Pty Ltd
5471,N Best
5512,Bushtrack Bus Company Pty Ltd
5414,Rymaluda BL Pty Ltd
5543,Curr Buses Pty Ltd
5841,Forbes Buslines
5141,LP and KM Tyack Pty Ltd
5561,Fuller Bros
5364,Langley's Coaches
5702,Beers Bus Charters Pty Ltd
5423,Havercroft Buslines Pty Ltd
5747,Aronui Pty Ltd
6061,NRC Buses Pty Ltd
5200,SK & JM Ward Pty Ltd
5107,Stephens Bus Service Pty Ltd
5670,Bushtrack Bus Company Pty Ltd
5103,R & L Hudspeth Pty Ltd
5514,Cabonne Bus Lines
5820,Walsh Buslines Pty Ltd
5101,B & L Imrie Pty Ltd
5602,"Matthews, Lyndon"
5132,J A Twomey Pty Ltd
5322,Condobolin Buses
5021,Transito Pty Ltd
5672,Merv Hennock and Sons Pty Ltd
5688,Curr Buses Pty Ltd
5026,Warren Hogden
5607,Vanes Bus Service
5461,Belubula Bus Lines Pty Ltd
5645,Wyalong Rd Bus Service Pty Ltd
5511,Coolah Valley Buses Pty Ltd
5923,WA Darcy Pty Ltd
5644,McConnachie Bus Service
5082,Langley's Coaches
5198,Cumnock Bus Company Pty Ltd
5248,Manna Station Pty Ltd
5083,PM & SJ Gray Bus Services Pty Ltd
5331,Lajeanca Pty Ltd
5341,Geographical Computing Pty Ltd
5468,Skelly's Bus Services
5659,Stagecoach Mail Services Pty Ltd
5058,MW Leeson Pty Ltd Pty Ltd
5507,Bushtrack Bus Company Pty Ltd
5862,Belubula Bus Lines Pty Ltd
5163,Beers Bus Charters Pty Ltd
6063,Langley's Coaches
5420,C M Ward Pty Ltd
5604,P & N Buses Pty Ltd
5085,S A & K Edwards Pty Ltd
5402,Cabonne Bus Lines
5657,Cumnock Bus Company Pty Ltd
5534,GTM Buses Pty Ltd
5921,KS Hall Pty Ltd
5087,ET & DF Wright & Sons Pty Ltd
5178,Gooloogong Bus Service
5729,Grindrod Bus Run Ltd Pty Ltd
5593,Moss Mayfield Pty Ltd
5003,Capcalgrey Pty Ltd
5405,CDC Broken Hill Pty Ltd
5203,Moore's Bus Lines Pty Ltd
5526,Spence's Coaches Western
5786,Lowmac Enterprises Pty Ltd
5724,Bakers Buses Pty Ltd
